id,genero,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,fecha
32,0,2,2,2,2,2,2,2,2,2,2,2025-10-27T14:16:08.2870000
33,0,0,2,2,0,2,1,4,2,2,1,2025-10-27T14:16:17.7430000
34,1,4,4,3,2,2,3,2,1,3,4,2025-10-27T14:16:18.2700000
35,1,2,2,2,2,2,3,2,2,3,3,2025-10-27T14:16:36.2530000
36,1,0,2,3,3,3,2,1,2,2,3,2025-10-27T14:16:53.8670000
37,1,0,2,3,3,3,2,1,2,2,3,2025-10-27T14:16:53.8870000
38,1,2,1,2,3,3,1,3,3,1,2,2025-10-27T14:16:54.3270000
39,1,2,4,2,4,4,2,3,2,2,3,2025-10-27T14:17:00.3100000
40,0,4,4,4,2,0,2,2,1,4,2,2025-10-27T14:17:26.3300000
41,0,2,3,1,3,4,3,4,3,2,2,2025-10-27T14:17:32.1900000
42,1,1,2,2,2,3,2,2,2,2,2,2025-10-27T14:17:49.6930000
43,1,4,4,4,4,1,4,2,0,4,4,2025-10-27T14:18:01.0700000
44,1,2,2,2,2,2,2,2,2,2,2,2025-10-27T14:18:06.0300000
45,1,3,2,3,2,1,1,1,1,2,3,2025-10-27T14:18:09.3070000
46,1,2,2,2,1,3,1,0,2,2,2,2025-10-27T14:19:19.8200000
47,1,2,2,2,3,2,2,3,3,2,2,2025-10-27T14:19:56.6070000
48,0,2,4,2,2,2,4,0,2,3,4,2025-10-27T14:21:02.6130000
49,1,2,3,4,1,1,2,2,1,3,4,2025-10-27T14:25:45.1000000
50,1,2,1,4,3,2,0,4,2,1,1,2025-10-27T14:26:21.2000000
51,1,3,3,4,3,1,2,3,4,3,2,2025-10-27T14:26:32.5470000
52,0,3,3,2,3,4,4,3,0,1,3,2025-10-27T14:26:44.5100000
53,0,4,3,3,2,1,2,1,2,2,4,2025-10-27T14:27:19.8130000
54,1,4,4,2,2,3,2,3,2,4,4,2025-10-27T14:27:23.3300000
55,0,1,1,2,3,2,1,3,2,3,2,2025-10-27T14:27:26.9500000
56,0,1,1,2,3,2,1,3,2,3,2,2025-10-27T14:27:26.9870000
57,1,1,3,2,2,1,4,2,1,2,2,2025-10-27T14:28:24.8970000
58,0,3,2,4,4,4,4,4,4,4,4,2025-10-27T14:28:44.6300000
59,1,2,4,3,2,2,3,2,1,3,3,2025-10-27T14:28:50.4870000
60,1,2,4,0,3,4,1,3,2,1,2,2025-10-27T14:29:05.8600000
61,1,3,4,4,2,1,3,1,1,3,4,2025-10-27T14:30:04.1470000
62,1,2,3,3,2,2,3,2,2,3,2,2025-10-27T14:30:38.7200000
63,1,3,4,3,0,0,3,0,0,4,4,2025-10-27T14:30:40.9930000
64,1,2,1,2,2,2,1,2,3,2,1,2025-10-27T14:31:18.9170000
65,0,1,2,3,2,3,2,2,1,2,1,2025-10-27T14:31:45.7030000
66,0,1,2,1,2,3,2,4,2,2,1,2025-10-27T14:32:13.4130000
67,0,0,1,2,3,2,3,2,2,2,2,2025-10-27T14:32:23.2670000
68,0,0,2,1,3,2,2,2,2,2,3,2025-10-27T14:33:25.0200000
69,1,3,2,2,2,2,3,2,2,3,2,2025-10-27T14:36:40.4330000
70,0,1,1,0,4,3,1,4,4,1,0,2025-10-27T14:36:41.9670000
71,1,4,4,4,1,2,4,1,2,3,4,2025-10-27T14:36:52.9400000
72,0,1,2,2,3,2,1,2,2,2,2,2025-10-27T14:37:15.6300000
73,1,3,4,3,1,4,4,3,1,4,4,2025-10-27T14:38:19.7730000
74,1,3,4,3,1,4,4,3,1,4,4,2025-10-27T14:38:19.8900000
75,0,1,2,1,3,4,1,1,4,2,1,2025-10-27T14:38:26.6700000
76,0,4,3,4,3,2,3,2,1,3,4,2025-10-27T14:38:41.1400000
77,0,3,4,2,2,1,4,2,2,3,4,2025-10-27T14:38:46.4200000
78,0,2,1,2,0,2,2,2,1,2,2,2025-10-27T14:38:46.7830000
79,0,2,3,4,3,2,0,4,1,4,3,2025-10-27T14:38:51.0930000
80,1,2,2,3,3,2,3,2,3,4,1,2025-10-27T14:38:51.9070000
81,0,2,3,2,2,2,2,3,2,1,2,2025-10-27T14:39:03.4400000
82,0,2,1,2,3,3,1,3,4,1,2,2025-10-27T14:39:38.1300000
83,1,4,4,3,2,1,4,2,1,4,4,2025-10-27T14:39:45.7300000
84,1,1,3,3,1,0,3,1,1,3,3,2025-10-27T14:40:09.0300000
85,0,2,1,2,0,3,2,2,3,3,2,2025-10-27T14:40:20.5670000
86,1,3,2,1,4,2,3,1,0,3,2,2025-10-27T14:40:25.0600000
87,0,2,2,2,2,2,1,3,2,2,2,2025-10-27T14:41:04.1670000
88,0,0,0,2,1,3,2,3,4,2,0,2025-10-27T14:42:02.9870000
89,1,3,3,3,2,2,3,2,2,3,4,2025-10-27T14:42:08.7800000
90,0,2,1,2,1,2,2,1,2,2,3,2025-10-27T14:42:41.3730000
91,0,1,1,2,2,2,2,1,2,2,2,2025-10-27T14:42:52.3300000
92,1,0,1,4,1,0,1,1,0,2,3,2025-10-27T14:43:23.8900000
93,1,1,2,3,0,1,2,4,0,2,2,2025-10-27T14:43:35.8830000
94,0,4,2,3,2,2,2,3,3,2,2,2025-10-27T14:46:28.7600000
95,1,3,3,4,2,2,2,2,3,2,2,2025-10-27T14:46:55.0230000
96,1,3,2,2,2,2,2,1,1,3,4,2025-10-27T14:47:03.5870000
97,0,2,0,2,0,4,0,0,4,2,1,2025-10-27T14:47:08.9530000
98,0,2,0,3,2,3,1,3,2,4,1,2025-10-27T14:47:23.0170000
99,0,3,4,4,1,1,2,2,1,3,4,2025-10-27T14:47:24.1930000
100,0,2,1,1,3,3,2,3,2,1,2,2025-10-27T14:47:30.2900000
101,0,1,2,2,3,3,3,3,3,2,2,2025-10-27T14:47:58.1700000
102,1,4,2,3,2,1,3,2,4,4,4,2025-10-27T14:48:03.4570000
103,0,3,2,2,2,2,2,2,3,2,2,2025-10-27T14:48:19.8900000
104,0,2,1,3,3,3,2,3,3,2,2,2025-10-27T14:48:20.8270000
105,1,2,4,4,2,2,3,2,2,4,4,2025-10-27T14:48:24.5830000
106,0,2,2,2,2,2,3,3,1,3,4,2025-10-27T14:48:29.8070000
107,0,1,2,3,3,3,1,3,3,1,1,2025-10-27T14:48:37.0170000
108,1,2,1,1,3,2,2,3,2,1,2,2025-10-27T14:48:45.1100000
109,0,2,4,3,3,3,3,3,3,3,3,2025-10-27T14:48:52.8300000
110,1,2,3,2,1,2,3,2,2,3,4,2025-10-27T14:48:53.7800000
111,0,2,2,0,0,1,4,2,1,0,3,2025-10-27T14:49:00.3470000
112,0,1,0,1,4,1,1,1,1,1,1,2025-10-27T14:49:10.7700000
113,0,2,2,2,4,0,2,3,2,2,2,2025-10-27T14:49:50.7770000
114,1,2,2,2,1,1,2,2,2,2,3,2025-10-27T14:49:53.0600000
115,0,1,2,3,2,2,3,2,1,3,2,2025-10-27T14:50:45.7770000
116,0,2,0,2,4,2,4,3,4,3,4,2025-10-27T14:51:59.8570000
117,1,2,2,1,3,2,4,1,2,3,3,2025-10-27T14:53:48.8000000
118,0,1,0,2,3,4,0,2,3,2,1,2025-10-27T14:59:55.7000000
119,0,2,1,2,4,3,1,4,4,3,2,2025-10-27T14:59:59.6530000
120,0,4,4,4,4,4,4,4,4,4,4,2025-10-27T15:00:02.7130000
121,0,4,4,4,4,4,4,4,4,4,4,2025-10-27T15:00:02.7600000
122,1,2,2,1,2,2,3,3,2,3,3,2025-10-27T15:00:12.9230000
123,1,2,2,2,3,2,2,2,2,2,2,2025-10-27T15:00:13.9000000
124,1,3,4,3,1,2,3,0,1,4,4,2025-10-27T15:00:15.4370000
125,0,3,4,4,2,2,1,3,2,4,3,2025-10-27T15:00:33.1570000
126,1,3,2,2,2,2,3,2,2,3,2,2025-10-27T15:00:34.4600000
127,1,3,2,1,2,4,1,1,4,4,3,2025-10-27T15:00:37.4830000
128,1,2,2,2,3,2,2,2,2,2,2,2025-10-27T15:00:39.2630000
129,1,2,2,3,1,1,1,2,2,2,3,2025-10-27T15:00:48.3000000
130,1,3,3,2,1,2,2,2,2,3,3,2025-10-27T15:01:07.7900000
131,0,2,2,2,2,2,3,1,3,3,3,2025-10-27T15:01:08.7300000
132,0,2,2,3,2,3,3,3,4,3,4,2025-10-27T15:01:20.6230000
133,1,1,2,2,2,2,2,2,2,2,2,2025-10-27T15:01:40.8600000
134,1,4,3,2,2,2,2,2,2,2,2,2025-10-27T15:01:43.0130000
135,0,2,3,3,4,3,2,3,4,2,1,2025-10-27T15:01:53.1870000
136,0,0,1,1,1,1,2,3,2,3,2,2025-10-27T15:02:13.8770000
137,0,1,1,2,2,2,1,3,3,1,1,2025-10-27T15:02:15.4000000
138,1,2,3,4,4,1,2,2,3,1,4,2025-10-27T15:02:23.3900000
139,0,2,1,2,3,3,1,3,3,2,2,2025-10-27T15:03:00.0730000
140,0,2,1,2,1,2,3,2,2,2,3,2025-10-27T15:03:27.0800000
141,0,2,1,3,3,3,2,3,3,2,1,2025-10-27T15:03:45.2200000
142,0,2,1,2,3,3,2,2,3,3,2,2025-10-27T15:03:56.4530000
143,0,1,2,2,2,3,2,1,3,2,2,2025-10-27T15:04:51.2900000
144,0,2,1,2,2,2,2,2,3,3,0,2025-10-27T15:05:18.7070000
145,0,2,1,1,3,3,1,2,3,2,2,2025-10-27T15:05:21.7530000
146,1,2,2,3,2,2,3,2,2,2,2,2025-10-27T15:06:12.8670000
147,0,2,2,1,2,1,2,1,2,1,2,2025-10-27T15:24:30.4230000
148,0,2,2,1,2,1,2,1,2,1,2,2025-10-27T15:24:30.5500000
149,0,0,1,0,3,2,2,3,1,2,1,2025-10-27T15:24:35.9000000
150,0,1,2,2,4,2,3,3,3,2,1,2025-10-27T15:26:00.4070000
151,0,2,2,3,1,2,1,2,2,1,2,2025-10-27T15:26:05.6970000
152,1,2,3,3,1,1,2,1,2,3,3,2025-10-27T15:26:30.6300000
153,0,2,2,2,2,2,2,1,1,2,3,2025-10-27T15:26:48.6830000
154,1,3,4,4,2,2,4,2,2,3,3,2025-10-27T15:27:07.5330000
155,1,2,2,3,2,1,2,2,2,1,1,2025-10-27T15:27:56.0430000
156,1,2,3,3,2,1,2,2,1,2,3,2025-10-27T15:28:23.9270000
157,1,2,2,2,3,4,4,4,2,2,2,2025-10-27T15:29:16.7170000
158,1,2,1,2,2,4,1,3,2,2,1,2025-10-27T15:29:26.3570000
159,1,2,3,0,2,3,2,1,0,2,2,2025-10-27T15:30:19.6770000
160,1,2,3,2,3,1,3,2,1,3,2,2025-10-27T15:31:03.3600000
161,1,4,4,4,2,4,3,1,1,4,4,2025-10-27T15:31:45.1700000
162,1,2,1,3,2,3,3,1,2,3,3,2025-10-27T15:32:26.9700000
163,1,2,2,2,3,3,2,2,2,2,2,2025-10-27T15:33:33.6800000
164,1,2,3,2,2,2,2,1,2,1,3,2025-10-27T15:34:23.0400000
165,0,2,1,3,2,3,3,2,2,4,4,2025-10-27T15:35:10.5430000
166,0,2,1,2,2,2,2,3,2,3,2,2025-10-27T15:35:58.6400000
167,0,1,1,2,2,3,2,2,1,2,2,2025-10-27T15:37:00.2500000
168,0,3,2,3,3,3,4,4,2,4,4,2025-10-27T15:47:35.9700000
169,0,2,1,2,3,3,1,3,3,1,1,2025-10-28T01:13:07.8070000
170,1,2,3,4,1,1,1,1,2,2,3,2025-10-28T20:40:46.8000000
