id,genero,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,fecha,score_total,label
237,1,1,2,2,3,2,2,1,3,1,2,2025-10-28T21:59:58.3530000,19,0
238,0,2,3,3,2,3,0,2,2,3,2,2025-10-28T22:00:08.3770000,22,1
239,0,2,3,3,2,2,1,1,3,0,2,2025-10-28T22:00:14.1470000,19,0
240,0,1,2,1,2,2,2,1,2,2,3,2025-10-28T22:00:18.4400000,18,0
241,1,3,2,3,2,2,2,2,2,4,4,2025-10-28T22:00:19.3930000,26,1
242,0,1,1,2,2,2,2,2,2,2,2,2025-10-28T22:00:26.1230000,18,0
243,1,3,2,2,2,2,2,2,2,2,2,2025-10-28T22:00:41.3030000,21,1
244,0,3,2,4,1,4,4,4,0,4,4,2025-10-28T22:00:51.4900000,30,1
245,1,2,2,1,1,1,2,1,1,2,2,2025-10-28T22:04:39.6570000,15,0
246,0,1,2,1,2,2,2,3,2,3,3,2025-10-28T22:04:49.7000000,21,1
247,1,2,2,2,1,2,2,2,0,2,2,2025-10-28T22:04:56.0670000,17,0
248,1,2,2,3,2,2,3,2,2,3,4,2025-10-28T22:05:48.8530000,25,1
249,1,2,0,2,1,1,2,1,1,1,1,2025-10-28T22:05:49.1600000,12,0
251,0,3,3,2,2,3,2,2,2,2,0,2025-10-28T22:07:20.1400000,21,1
252,0,1,0,2,0,1,2,0,0,0,0,2025-10-28T22:07:45.1530000,6,0
253,0,2,1,3,3,4,1,2,1,1,3,2025-10-28T22:08:44.7300000,21,1
254,1,3,2,3,2,2,2,2,2,3,3,2025-10-28T22:10:51.9270000,24,1
255,0,3,1,1,3,1,1,4,4,0,0,2025-10-28T22:11:43.2900000,18,0
257,1,2,3,3,3,2,2,3,2,3,3,2025-10-28T22:12:10.6300000,26,1
258,1,2,2,1,2,2,3,1,2,1,2,2025-10-28T22:12:14.1130000,18,0
259,1,2,1,2,4,1,1,1,2,3,2,2025-10-28T22:12:17.8730000,19,0
260,0,2,2,3,1,1,3,1,1,3,2,2025-10-28T22:12:18.1570000,19,0
261,0,0,0,0,4,4,0,4,3,2,2,2025-10-28T22:12:30.1900000,19,0
262,1,4,3,3,1,1,3,1,1,3,3,2025-10-28T22:13:14.3100000,23,1
263,1,2,3,2,2,3,2,2,3,2,2,2025-10-28T22:13:17.8030000,23,1
265,0,0,0,2,4,3,3,1,2,1,0,2025-10-28T22:15:26.6970000,16,0
266,0,3,1,2,2,2,2,2,2,2,2,2025-10-28T22:15:35.7200000,20,0
267,0,0,0,2,0,0,2,0,0,4,0,2025-10-28T22:16:36.3530000,8,0
268,0,2,3,3,2,2,2,2,2,3,2,2025-10-28T22:16:39.1400000,23,1
270,1,2,3,4,2,2,2,1,2,2,3,2025-10-28T22:17:29.0970000,23,1
271,1,2,2,1,1,2,2,2,2,2,2,2025-10-28T22:17:54.3600000,18,0
272,1,2,3,2,2,2,2,1,1,2,3,2025-10-28T22:18:06.2930000,20,0
273,0,4,4,4,4,4,4,4,4,4,4,2025-10-28T22:18:15.5930000,40,1
274,1,2,3,3,2,2,0,1,1,3,2,2025-10-28T22:18:18.6300000,19,0
275,1,4,3,4,2,2,2,3,3,4,4,2025-10-28T22:18:24.5500000,31,1
276,1,2,2,2,2,2,2,2,1,2,3,2025-10-28T22:18:48.5470000,20,0
277,1,2,4,3,2,2,2,3,1,4,4,2025-10-28T22:19:03.9230000,27,1
278,1,0,0,1,3,1,0,1,3,1,1,2025-10-28T22:19:50.3330000,11,0
279,1,0,0,1,3,2,1,1,1,2,1,2025-10-28T22:20:38.5800000,12,0
281,0,3,3,4,2,3,4,2,2,2,4,2025-10-28T22:24:44.4200000,29,1
282,0,2,2,3,2,3,2,2,2,2,3,2025-10-28T22:25:06.1500000,23,1
283,1,2,1,3,0,2,2,2,1,2,2,2025-10-28T22:25:37.1600000,17,0
284,0,4,3,3,2,1,2,2,2,3,4,2025-10-28T22:25:39.6800000,26,1
285,1,3,3,4,1,2,1,0,3,4,4,2025-10-28T22:25:40.5500000,25,1
286,0,2,2,1,1,2,2,0,2,3,3,2025-10-28T22:25:41.5870000,18,0
287,0,2,2,2,2,2,3,2,3,3,3,2025-10-28T22:25:55.5900000,24,1
288,1,2,3,2,3,2,3,3,2,2,3,2025-10-28T22:26:05.9600000,25,1
290,0,3,2,3,3,2,2,2,2,2,3,2025-10-28T22:26:50.6000000,24,1
291,0,0,1,0,0,0,1,0,0,0,0,2025-10-28T22:26:59.9830000,2,0
293,1,2,0,3,2,2,2,2,2,2,2,2025-10-28T22:27:32.6030000,19,0
294,0,3,2,2,2,2,1,2,2,3,2,2025-10-28T22:27:35.7600000,21,1
295,1,3,2,3,2,1,3,2,2,3,2,2025-10-28T22:27:36.2830000,23,1
296,1,4,2,2,2,2,2,1,1,2,2,2025-10-28T22:28:08.8700000,20,0
297,1,3,1,3,3,2,2,2,2,3,3,2025-10-28T22:28:51.8470000,24,1
298,1,4,1,3,2,3,1,3,3,1,1,2025-10-28T22:32:16.0830000,22,1
301,0,1,1,2,1,1,2,1,1,2,2,2025-10-28T22:32:26.3900000,14,0
302,0,2,1,3,2,4,1,4,2,2,2,2025-10-28T22:32:52.5300000,23,1
303,0,0,2,3,0,3,2,1,1,2,2,2025-10-28T22:33:04.2700000,16,0
306,0,3,1,3,0,2,0,3,3,2,2,2025-10-28T22:33:27.0770000,19,0
307,1,2,3,3,2,2,1,1,2,2,3,2025-10-28T22:33:27.1530000,21,1
308,0,1,1,1,2,3,1,3,3,2,2,2025-10-28T22:33:28.8470000,19,0
